name	n	mean_probe	sd_probe	median_probe	min_probe	max_probe	NORM_FACT	NF_sd
SP140_exon19	20	1.0889	0.0447	1.0859	1.0307	1.1784	1.0859	0.0447
SP140_exon2	20	0.7199	0.022	0.7194	0.6844	0.774	0.7194	0.022
SP140_exon20	20	1.0136	0.0361	1.0152	0.9357	1.0728	1.0152	0.0361
SP140_exon21	20	1.0395	0.0374	1.0364	0.957	1.1071	1.0364	0.0374
SP140_exon22	20	1.0963	0.0536	1.0981	1.0023	1.1764	1.0981	0.0536
SP140_exon23	20	1.0328	0.0305	1.0323	0.9772	1.0839	1.0323	0.0305
SP140_exon24	20	1.2	0.0407	1.2048	1.116	1.2673	1.2048	0.0407
SP140_exon25	20	0.8444	0.0419	0.84	0.7726	0.9324	0.84	0.0419
SP140_exon26	20	0.188	0.0453	0.1803	0.1107	0.266	0.1803	0.0453
SP140_exon27	20	0.808	0.0852	0.8065	0.665	0.9664	0.8065	0.0852
SP140_exon28	20	0.6133	0.0844	0.6181	0.4787	0.7398	0.6181	0.0844
SP140_exon29	20	1.2761	0.0377	1.2789	1.2071	1.325	1.2789	0.0377
SP140_exon3	20	0.902	0.0352	0.9067	0.849	0.9988	0.9067	0.0352
SP140_exon30	20	1.1594	0.0327	1.1626	1.0839	1.2146	1.1626	0.0327
SP140_exon4	20	0.9947	0.0408	0.9955	0.9383	1.1013	0.9955	0.0408
SP140_exon5	20	1.101	0.031	1.095	1.0644	1.181	1.095	0.031
SP140_exon6	20	1.2198	0.0421	1.2201	1.1496	1.3242	1.2201	0.0421
SP140_exon7	20	1.0422	0.0412	1.0506	0.962	1.1291	1.0506	0.0412
SP140_exon8	20	1.1908	0.0458	1.1943	1.1032	1.251	1.1943	0.0458
SP140_exon9	20	1.2914	0.0406	1.293	1.1921	1.3702	1.293	0.0406
STAT3_exon1	20	1.2374	0.0592	1.2315	1.1587	1.4043	1.2315	0.0592
STAT3_exon10	20	1.0323	0.0728	1.0196	0.9302	1.2633	1.0196	0.0728
STAT3_exon11	20	1.3845	0.0584	1.3803	1.2704	1.5844	1.3803	0.0584
STAT3_exon12	20	1.3191	0.0701	1.3063	1.2368	1.5491	1.3063	0.0701
STAT3_exon13	20	1.3922	0.0697	1.3848	1.3117	1.6379	1.3848	0.0697
STAT3_exon14	20	1.0439	0.0824	1.041	0.9286	1.2759	1.041	0.0824
STAT3_exon15	20	1.1174	0.0679	1.1022	1.0512	1.3597	1.1022	0.0679
STAT3_exon16	20	0.8011	0.0398	0.7899	0.7236	0.889	0.7899	0.0398
STAT3_exon17	20	1.0081	0.0635	0.9978	0.9262	1.2059	0.9978	0.0635
STAT3_exon18	20	0.9767	0.0426	0.9738	0.9137	1.0907	0.9738	0.0426
STAT3_exon19	20	1.0254	0.0532	1.0188	0.9603	1.2092	1.0188	0.0532
STAT3_exon2	20	1.1927	0.0667	1.1787	1.1118	1.4335	1.1787	0.0667
STAT3_exon3	20	1.1959	0.0846	1.1695	1.1051	1.4472	1.1695	0.0846
STAT3_exon4	20	1.2288	0.0586	1.2181	1.1567	1.3831	1.2181	0.0586
STAT3_exon5	20	1.4903	0.0667	1.4792	1.3893	1.71	1.4792	0.0667
STAT3_exon6	20	1.654	0.0867	1.6331	1.5441	1.9736	1.6331	0.0867
STAT3_exon7	20	1.5497	0.069	1.5465	1.4193	1.7617	1.5465	0.069
STAT3_exon8	20	1.1755	0.0474	1.1758	1.063	1.3241	1.1758	0.0474
STAT3_exon9	20	1.111	0.0474	1.1053	1.0419	1.2851	1.1053	0.0474
TGDS_exon1	20	1.0288	0.0396	1.0283	0.947	1.082	1.0283	0.0396
TGDS_exon10	20	1.1777	0.0476	1.1755	1.0392	1.2535	1.1755	0.0476
TGDS_exon11	20	1.06	0.0405	1.0748	0.9497	1.1096	1.0748	0.0405
TGDS_exon12	20	0.9079	0.0447	0.9206	0.8157	0.9623	0.9206	0.0447
TGDS_exon13	20	0.65	0.0496	0.6471	0.5511	0.7632	0.6471	0.0496
TGDS_exon2	20	0.932	0.0371	0.9271	0.8628	0.9958	0.9271	0.0371
TGDS_exon3	20	0.8946	0.0444	0.8859	0.8111	0.9661	0.8859	0.0444
TGDS_exon4	20	1.227	0.0586	1.2491	1.0999	1.3156	1.2491	0.0586
TGDS_exon5	20	0.9071	0.0376	0.9058	0.8291	0.9632	0.9058	0.0376
TGDS_exon6	20	1.0108	0.0495	1.0116	0.9264	1.1025	1.0116	0.0495
TGDS_exon7	20	0.9274	0.0513	0.9175	0.8595	1.0186	0.9175	0.0513
TGDS_exon8	20	0.7719	0.0602	0.7517	0.6641	0.867	0.7517	0.0602
TGDS_exon9	20	1.0367	0.0494	1.0511	0.9116	1.1083	1.0511	0.0494
TNFRSF17_exon1	20	1.1744	0.0452	1.1712	1.0599	1.2748	1.1712	0.0452
TNFRSF17_exon2	20	0.9915	0.0427	0.9795	0.9365	1.0826	0.9795	0.0427
TNFRSF17_exon3	20	0.4996	0.0323	0.489	0.4651	0.6027	0.489	0.0323
TNFRSF17_exon4	20	1.0421	0.0333	1.0397	0.9817	1.0983	1.0397	0.0333
TNFSF12_exon1	20	0.5046	0.0428	0.5066	0.3651	0.565	0.5066	0.0428
TNFSF12_exon2	20	1.1283	0.0952	1.1332	0.8456	1.2378	1.1332	0.0952
TNFSF12_exon3	20	1.3125	0.1226	1.3033	0.9399	1.4698	1.3033	0.1226
TNFSF12_exon4	20	1.0734	0.0828	1.0953	0.7996	1.1865	1.0953	0.0828
TNFSF12_exon5	20	0.9466	0.0682	0.9586	0.713	1.0267	0.9586	0.0682
TNFSF12_exon6	20	1.0442	0.0846	1.0724	0.7413	1.1265	1.0724	0.0846
TNFSF12_exon7	20	1.1424	0.0739	1.1567	0.8823	1.2208	1.1567	0.0739
TNFSF12_exon8	20	1.2119	0.0987	1.2346	0.885	1.3463	1.2346	0.0987
TNFSF12_exon9	20	0.8255	0.0742	0.8333	0.6023	0.9682	0.8333	0.0742
TP53_exon1	20	0.3756	0.0426	0.3805	0.253	0.4904	0.3805	0.0426
TP53_exon10	20	1.3451	0.1027	1.367	0.9966	1.4463	1.367	0.1027
TP53_exon11	20	0.9839	0.0653	0.9915	0.7494	1.0759	0.9915	0.0653
TP53_exon12	20	1.1879	0.0831	1.1913	0.8946	1.2765	1.1913	0.0831
TP53_exon13	20	0.9616	0.066	0.9773	0.745	1.0279	0.9773	0.066
TP53_exon2	20	0.9255	0.0704	0.9477	0.7074	1	0.9477	0.0704
TP53_exon3	20	0.4593	0.0477	0.4609	0.3476	0.5561	0.4609	0.0477
TP53_exon4	20	1.2057	0.0977	1.2177	0.8456	1.3283	1.2177	0.0977
TP53_exon5	20	0.6644	0.056	0.6674	0.5044	0.8036	0.6674	0.056
TP53_exon6	20	1.0757	0.0777	1.0694	0.8038	1.186	1.0694	0.0777
TP53_exon7	20	1.3574	0.1066	1.3801	0.9804	1.4666	1.3801	0.1066
TP53_exon8	20	1.1099	0.079	1.1289	0.8156	1.1815	1.1289	0.079
TP53_exon9	20	1.2807	0.0908	1.3012	0.9662	1.3827	1.3012	0.0908
TRAF2_exon1	20	0.7221	0.0541	0.7083	0.6396	0.8333	0.7083	0.0541
TRAF2_exon10	20	1.153	0.0702	1.1298	1.0732	1.3482	1.1298	0.0702
TRAF2_exon2	20	0.9007	0.0692	0.8831	0.8184	1.0863	0.8831	0.0692
TRAF2_exon3	20	1.2694	0.073	1.2426	1.1832	1.4859	1.2426	0.073
TRAF2_exon4	20	0.9737	0.0664	0.9478	0.9036	1.1333	0.9478	0.0664
TRAF2_exon5	20	0.6825	0.0509	0.6817	0.604	0.8142	0.6817	0.0509
TRAF2_exon6	20	1.4734	0.0872	1.4401	1.3807	1.7115	1.4401	0.0872
TRAF2_exon7	20	1.1608	0.0653	1.1471	1.0952	1.3568	1.1471	0.0653
TRAF2_exon8	20	1.2477	0.0822	1.2345	1.1408	1.4295	1.2345	0.0822
TRAF2_exon9	20	0.8792	0.0588	0.8559	0.7892	1.0507	0.8559	0.0588
TRAF3_exon1	20	1.2961	0.0457	1.291	1.2091	1.386	1.291	0.0457
TRAF3_exon10	20	1.2733	0.0472	1.2682	1.1979	1.397	1.2682	0.0472
TRAF3_exon11	20	0.9022	0.0364	0.8952	0.8475	0.9678	0.8952	0.0364
TRAF3_exon12	20	1.1961	0.0364	1.1901	1.1302	1.283	1.1901	0.0364
TRAF3_exon2	20	1.1061	0.0401	1.1008	1.0102	1.225	1.1008	0.0401
TRAF3_exon3	20	1.0474	0.0375	1.051	0.9829	1.1481	1.051	0.0375
TRAF3_exon4	20	1.1164	0.044	1.1123	1.0448	1.2108	1.1123	0.044
TRAF3_exon5	20	1.0568	0.0425	1.0533	0.9494	1.1371	1.0533	0.0425
TRAF3_exon6	20	1.0592	0.0473	1.0658	0.9692	1.1636	1.0658	0.0473
TRAF3_exon7	20	1.0075	0.0487	1.0018	0.9152	1.1353	1.0018	0.0487
TRAF3_exon8	20	1.2451	0.052	1.2586	1.1724	1.391	1.2586	0.052
TRAF3_exon9	20	1.0013	0.047	0.9891	0.9231	1.1337	0.9891	0.047
XBP1_exon1	20	1.3805	0.0907	1.4035	1.0544	1.4599	1.4035	0.0907
XBP1_exon2	20	1.1972	0.0852	1.2198	0.9145	1.2754	1.2198	0.0852
XBP1_exon3	20	1.1915	0.0905	1.2125	0.881	1.2937	1.2125	0.0905
XBP1_exon4	20	0.9133	0.0721	0.9317	0.6588	0.9795	0.9317	0.0721
XBP1_exon5	20	0.972	0.0802	0.9829	0.7121	1.0856	0.9829	0.0802
XBP1_exon6	20	0.8263	0.0739	0.8456	0.5917	0.9755	0.8456	0.0739
XBP1_exon7	20	0.8953	0.0814	0.9046	0.6133	1.0048	0.9046	0.0814
XBP1_exon8	20	0.2523	0.0523	0.2602	0.146	0.3201	0.2602	0.0523
XPO1_exon1	20	0.9778	0.0332	0.9806	0.9174	1.0509	0.9806	0.0332
XPO1_exon10	20	1.1496	0.039	1.1618	1.0875	1.2075	1.1618	0.039
XPO1_exon11	20	1.3636	0.0533	1.3624	1.2658	1.477	1.3624	0.0533
XPO1_exon12	20	1.3719	0.0457	1.3698	1.2938	1.4455	1.3698	0.0457
XPO1_exon13	20	1.1298	0.0419	1.1283	1.0433	1.1897	1.1283	0.0419
XPO1_exon14	20	1.0405	0.0458	1.0444	0.9585	1.1195	1.0444	0.0458
XPO1_exon15	20	0.9946	0.0337	1.0048	0.9024	1.0483	1.0048	0.0337
XPO1_exon16	20	1.1241	0.0533	1.1262	1.0261	1.2049	1.1262	0.0533
XPO1_exon17	20	0.9412	0.032	0.9406	0.8895	1.0069	0.9406	0.032
XPO1_exon18	20	1.1596	0.0406	1.155	1.1025	1.2447	1.155	0.0406
XPO1_exon19	20	1.1627	0.0413	1.165	1.0908	1.2452	1.165	0.0413
XPO1_exon2	20	0.8215	0.0414	0.8072	0.7651	0.9298	0.8072	0.0414
XPO1_exon20	20	0.9219	0.0347	0.9226	0.8577	0.9791	0.9226	0.0347
XPO1_exon21	20	0.7904	0.0357	0.7917	0.7175	0.8833	0.7917	0.0357
XPO1_exon3	20	1.0502	0.0311	1.0531	1.0012	1.1023	1.0531	0.0311
XPO1_exon4	20	0.8371	0.0416	0.8492	0.7565	0.9365	0.8492	0.0416
XPO1_exon5	20	1.1448	0.0297	1.1511	1.0605	1.1893	1.1511	0.0297
XPO1_exon6	20	1.0698	0.0302	1.0704	1.014	1.1355	1.0704	0.0302
XPO1_exon7	20	1.0264	0.0329	1.0351	0.9373	1.0856	1.0351	0.0329
XPO1_exon8	20	1.0037	0.0318	1.0009	0.9372	1.0513	1.0009	0.0318
XPO1_exon9	20	1.1517	0.0327	1.1446	1.102	1.2106	1.1446	0.0327
