name	n	mean_probe	sd_probe	median_probe	min_probe	max_probe	NORM_FACT	NF_sd
PTPN11_exon20	11	1.1673	0.1259	1.2336	0.953	1.2871	1.2336	0.1259
PTPN11_exon3	11	0.8754	0.0842	0.8548	0.7404	1.0807	0.8548	0.0842
PTPN11_exon4	11	1.0241	0.1002	1.0404	0.8239	1.2236	1.0404	0.1002
PTPN11_exon5	11	1.1137	0.1191	1.0865	0.9418	1.302	1.0865	0.1191
PTPN11_exon6	11	0.7053	0.0473	0.7042	0.6097	0.782	0.7042	0.0473
PTPN11_exon7	11	1.1312	0.1016	1.1287	0.9515	1.2618	1.1287	0.1016
PTPN11_exon8	11	1.2011	0.1703	1.226	0.9512	1.5654	1.226	0.1703
PTPN11_exon9	11	0.6108	0.1965	0.5567	0.3793	0.9138	0.5567	0.1965
RASA2_exon1	11	0.0351	0.0242	0.0204	0.0141	0.0848	0.0204	0.0242
RASA2_exon10	11	1.0016	0.0712	0.9974	0.8631	1.1279	0.9974	0.0712
RASA2_exon11	11	1.2222	0.1243	1.1883	1.043	1.4766	1.1883	0.1243
RASA2_exon12	11	1.1258	0.0718	1.138	1.0201	1.277	1.138	0.0718
RASA2_exon13	11	1.1266	0.0933	1.1161	0.9819	1.2452	1.1161	0.0933
RASA2_exon14	11	1.1154	0.153	1.1	0.8453	1.3233	1.1	0.153
RASA2_exon15	11	1.0425	0.1182	1.0607	0.8515	1.1805	1.0607	0.1182
RASA2_exon16	11	1.1999	0.1355	1.1741	0.9915	1.4627	1.1741	0.1355
RASA2_exon17	11	1.2083	0.2397	1.3102	0.8926	1.5081	1.3102	0.2397
RASA2_exon18	11	0.8686	0.0377	0.8546	0.8228	0.9476	0.8546	0.0377
RASA2_exon19	11	1.1983	0.1059	1.211	1.0374	1.3708	1.211	0.1059
RASA2_exon2	11	1.1447	0.1027	1.1851	0.9888	1.3159	1.1851	0.1027
RASA2_exon20	11	1.3151	0.1569	1.3678	1.0912	1.5239	1.3678	0.1569
RASA2_exon21	11	1.0746	0.1624	1.1079	0.8342	1.3115	1.1079	0.1624
RASA2_exon22	11	1.0986	0.1244	1.0875	0.8233	1.339	1.0875	0.1244
RASA2_exon23	11	1.1953	0.1394	1.2167	0.9743	1.4173	1.2167	0.1394
RASA2_exon24	11	1.2316	0.0677	1.223	1.1235	1.3347	1.223	0.0677
RASA2_exon25	11	1.1292	0.1813	1.2124	0.9052	1.3743	1.2124	0.1813
RASA2_exon3	11	0.9889	0.276	1.0712	0.6035	1.3251	1.0712	0.276
RASA2_exon4	11	1.1143	0.1556	1.1049	0.7414	1.3061	1.1049	0.1556
RASA2_exon5	11	1.2015	0.2256	1.2254	0.8336	1.4876	1.2254	0.2256
RASA2_exon6	11	0.8583	0.0774	0.8683	0.6923	0.9653	0.8683	0.0774
RASA2_exon7	11	1.1169	0.1308	1.0807	0.9583	1.3054	1.0807	0.1308
RASA2_exon8	11	1.0534	0.1631	1.0373000000000001	0.7108	1.2745	1.0373000000000001	0.1631
RASA2_exon9	11	1.1906	0.1253	1.2455	0.891	1.3254	1.2455	0.1253
RB1_exon1	11	0.0786	0.0507	0.071	0.0312	0.1883	0.071	0.0507
RB1_exon10	11	1.2758	0.1912	1.3089	0.9772	1.5813	1.3089	0.1912
RB1_exon11	11	1.3149	0.1596	1.3543	1.0781	1.5065	1.3543	0.1596
RB1_exon12	11	1.094	0.1367	1.1009	0.8767	1.2937	1.1009	0.1367
RB1_exon13	11	1.2925	0.0806	1.2842	1.1814	1.4565	1.2842	0.0806
RB1_exon14	11	1.0176	0.2014	1.0618	0.7085	1.3819	1.0618	0.2014
RB1_exon15	11	0.8748	0.1621	0.9058	0.6487	1.0746	0.9058	0.1621
